Name,Date + Time,Location,Type,Region,Latitude,Longitude,Weather Forecast
Dead Bars,1/19/2024,Slim's Last Chance,Music,South Seattle,47.5524903,-122.33389967462686,unknown
Emotional: A Night For The Heartbroken,1/19/2024,Chop Suey,Music,Capitol Hill / Central District,47.6135323,-122.31445524950735,unknown
Loonieboys,1/19/2024,Funhouse,Music,Capitol Hill / Central District,43.6576535,-72.2840663,unknown
Corteo,Now through 1/20/2024,Climate Pledge Arena,Theatre,Queen Anne / Seattle Center,47.6219014,-122.353990491486,Mostly Cloudy
Bewitcher,1/20/2024,Funhouse,Music,Capitol Hill / Central District,43.6576535,-72.2840663,unknown
burn burn burn,1/20/2024,Slim's Last Chance,Music,South Seattle,47.5524903,-122.33389967462686,unknown
Carly Ann Calbero,1/20/2024,The Royal Room,Music,South Seattle,47.5569023,-122.2842722,unknown
El Primer Instinto,1/20/2024,El Corazon,Music,Downtown,43.6529365,-70.2671548,unknown
Gary Janetti,1/20/2024,The Neptune Theatre,Theatre,University District,47.6612984,-122.3131523,unknown
Jammah,1/20/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,47.6615049,-122.332319,unknown
Saturday Family Concert: The Harmonica Pocket,1/20/2024,Town Hall Seattle,Music,Downtown,47.6090191,-122.32993774092222,unknown
Seattle Thunderbirds vs. Tri-City Americans,1/20/2024,accesso ShoWare Center,Sports,South,47.38765995,-122.24000381780328,unknown
"Hokusai: Inspiration and Influence, from The Collection of The Museum of Fine Arts, Boston",Now through 1/21/2024,Seattle Art Museum,Museums,Downtown,47.6077008,-122.3385575,Mostly Cloudy
An Evening with Chris Botti,Now through 1/21/2024,Dimitriou's Jazz Alley,Music,Downtown,47.6148163,-122.339691,Mostly Cloudy
Bluey�s Big Play,1/20/2024 through 1/21/2024,The Paramount Theatre,Theatre,Downtown,38.030837399999996,-78.47999700513506,unknown
Mike Birbiglia: Please Stop the Ride,1/20/2024 through 1/21/2024,The Moore Theatre,Theatre,Downtown,42.2896932,-83.7207314,unknown
Austin Plaine,1/21/2024,Funhouse,Music,Capitol Hill / Central District,43.6576535,-72.2840663,unknown
Seattle Kraken vs. Toronto Maple Leafs,1/21/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,unknown
Kate Alice Marshall,1/22/2024,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,47.6146657,-122.319677,unknown
Machine Head,1/22/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726,unknown
Silent Movie Mondays � Safety Last,1/22/2024,The Paramount Theatre,Film & Media Arts,Downtown,38.030837399999996,-78.47999700513506,unknown
Life on Thin Ice | National Geographic Live,1/22/2024 through 1/23/2024,Benaroya Hall,Readings & Lectures,Downtown,47.60811665,-122.33697040702705,unknown
Buck Meek,1/23/2024,The Crocodile,Music,Downtown,47.6146474,-122.3490734,unknown
Curator Tour: Joseph A. Witt Winter Garden,1/23/2024,Washington Park Arboretum,Tours & Attractions,University District,47.6351836,-122.29646730854094,unknown
Synthwave DJ Dance Party,1/23/2024,High Dive,Music,Fremont / Ballard,41.7111625,-93.6318959,unknown
Wiley from Atlanta,1/23/2024,Funhouse,Music,Capitol Hill / Central District,43.6576535,-72.2840663,unknown
Winter Reverb,1/23/2024,Chop Suey,Music,Capitol Hill / Central District,47.6135323,-122.31445524950735,unknown
Tribute to John Williams,Now through 1/24/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702705,Mostly Cloudy
Lakecia Benjamin and Phoenix,1/23/2024 through 1/24/2024,Dimitriou's Jazz Alley,Music,Downtown,47.6148163,-122.339691,unknown
Corey Harper,1/24/2024,Barboza,Music,Capitol Hill / Central District,47.6138274,-122.3196284,unknown
DJ Shadow,1/24/2024,The Neptune Theatre,Music,University District,47.6612984,-122.3131523,unknown
Opera on Tap,1/24/2024,The Royal Room,Music,South Seattle,47.5569023,-122.2842722,unknown
PBS � Peter Band Supreme,1/24/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,47.6615049,-122.332319,unknown
Seattle Kraken vs. Chicago Blackhawks,1/24/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,unknown
Silent Planet,1/24/2024,El Corazon,Music,Downtown,43.6529365,-70.2671548,unknown
Stuff You Should Know,1/24/2024,The Paramount Theatre,Theatre,Downtown,38.030837399999996,-78.47999700513506,unknown
The Cooking Gene,1/24/2024,Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,unknown
Aryana Leon,1/25/2024,Barboza,Music,Capitol Hill / Central District,47.6138274,-122.3196284,unknown
Colorworks,1/25/2024,Nectar Lounge,Music,Fremont / Ballard,47.6523876,-122.3538541520202,unknown
Dar Williams,1/25/2024,The Neptune Theatre,Music,University District,47.6612984,-122.3131523,unknown
Deb Perelman,1/25/2024,Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,unknown
Emanuel Brown,1/25/2024,Chop Suey,Music,Capitol Hill / Central District,47.6135323,-122.31445524950735,unknown
James Miles,1/25/2024,Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,unknown
Madeline Pendleton,1/25/2024,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,47.6146657,-122.319677,unknown
October London,1/25/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726,unknown
Tacoma Stars vs. Empire Strykers,1/25/2024,accesso ShoWare Center,Sports,South,47.38765995,-122.24000381780328,unknown
Dungeons and Drag Queens,1/26/2024,The Crocodile,Theatre,Downtown,47.6146474,-122.3490734,unknown
Global Rhythms: Yungchen Lhamo,1/26/2024,Town Hall Seattle,Music,Downtown,47.6090191,-122.32993774092222,unknown
Harlem Globetrotters 2024 World Tour �,1/26/2024,accesso ShoWare Center,Sports,South,47.38765995,-122.24000381780328,unknown
Seattle Kraken vs. St. Louis Blues,1/26/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,unknown
Shelf Nunny,1/26/2024,Barboza,Music,Capitol Hill / Central District,47.6138274,-122.3196284,unknown
Super Diamond � The Neil Diamond Tribute Band,1/26/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726,unknown
The Disorderlies,1/26/2024,Slim's Last Chance,Music,South Seattle,47.5524903,-122.33389967462686,unknown
Compania Nacional de Danza,1/25/2024 through 1/27/2024,Meany Center for the Performing Arts,Dance,University District,47.6612984,-122.3131523,Rain
Metropolis,1/25/2024 through 1/27/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702705,Rain
Andy Coe Band,1/26/2024 through 1/27/2024,Nectar Lounge,Music,Fremont / Ballard,47.6523876,-122.3538541520202,Rain
Harlem Globetrotters,1/27/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,Mostly Cloudy
Seattle Thunderbirds vs. Everett Silvertips,1/27/2024,accesso ShoWare Center,Sports,South,47.38765995,-122.24000381780328,Mostly Cloudy
The Budos Band,1/27/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726,Mostly Cloudy
The Human Family,1/27/2024,Opera Center,Music,Queen Anne / Seattle Center,44.43358325,26.079138268508792,unknown
Steinunn Porarinsdottir: Wayfinders,Now through 1/28/2024,National Nordic Museum,Museums,Fremont / Ballard,47.6683615,-122.39177949359151,Mostly Cloudy
Hanako O�Leary: Izanami,Now through 1/28/2024,Frye Art Museum,Museums,Capitol Hill / Central District,47.60719095,-122.32405377084555,Mostly Cloudy
Gage Alumni Show,Now through 1/28/2024,Fountainhead Gallery,Visual Arts & Galleries,Queen Anne / Seattle Center,28.1110963,-80.6740045,Mostly Cloudy
Bohemia,Now through 1/28/2024,The Triple Door,Theatre,Downtown,47.6086439,-122.337685,Mostly Cloudy
Lee Ritenour and Dave Grusin,1/25/2024 through 1/28/2024,Dimitriou's Jazz Alley,Music,Downtown,47.6148163,-122.339691,Rain
Celebrate Asia,1/28/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702705,Mostly Cloudy
Family Day with Birds Connect Seattle,1/28/2024,National Nordic Museum,Museums,Fremont / Ballard,47.6683615,-122.39177949359151,Mostly Cloudy
Seattle Kraken vs. Columbus Blue Jackets,1/28/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,Mostly Cloudy
Tacoma Stars vs. San Diego Sockers,1/28/2024,accesso ShoWare Center,Sports,South,47.38765995,-122.24000381780328,Mostly Cloudy
Adira Sharkey,1/29/2024,Tractor Tavern,Music,Fremont / Ballard,47.6657081,-122.38280295082915,Mostly Cloudy
"Car, The Garden",1/29/2024,The Crocodile,Music,Downtown,47.6146474,-122.3490734,Mostly Cloudy
Cheryl Wheeler,1/30/2024,The Triple Door,Music,Downtown,47.6086439,-122.337685,Mostly Cloudy
Giantish,1/30/2024,High Dive,Music,Fremont / Ballard,41.7111625,-93.6318959,Areas Of Fog
Seattle Thunderbirds vs. Prince George Cougars,1/30/2024,accesso ShoWare Center,Sports,South,47.38765995,-122.24000381780328,Mostly Cloudy
A/political Rocks,Now through 1/31/2024,Henry Art Gallery,Museums,University District,47.6565246,-122.31173279895636,Mostly Cloudy
Sophia Al-Maria,Now through 1/31/2024,Henry Art Gallery,Museums,University District,47.6565246,-122.31173279895636,Mostly Cloudy
Jahari Stampley,1/30/2024 through 1/31/2024,Dimitriou's Jazz Alley,Music,Downtown,47.6148163,-122.339691,Mostly Cloudy
FRAKTURED: Home of the Broken Beat,1/31/2024,High Dive,Music,Fremont / Ballard,41.7111625,-93.6318959,Areas Of Fog
G3- 25th Anniversary reunion,1/31/2024,The Moore Theatre,Music,Downtown,42.2896932,-83.7207314,Rain Showers
JP Saxe,1/31/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726,Mostly Cloudy
Los Lobos,1/31/2024,The Triple Door,Music,Downtown,47.6086439,-122.337685,Mostly Cloudy
BabyTron,2/1/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726,Mostly Cloudy
Catalyzing Change with Akuyea Karen Vargas,2/1/2024,Bainbridge Island Museum of Art,Readings & Lectures,West,47.6251322,-122.51453295865404,Mostly Cloudy
Jamila Woods,2/1/2024,Neumos,Music,Capitol Hill / Central District,47.613954,-122.3196108,Mostly Cloudy
Jazz is Dead: Blue Note 85,2/1/2024,The Neptune Theatre,Music,University District,47.6612984,-122.3131523,Mostly Cloudy
Michelle Cann,2/1/2024,Meany Center for the Performing Arts,Music,University District,47.6612984,-122.3131523,Mostly Cloudy
Pakt,2/1/2024,Funhouse,Music,Capitol Hill / Central District,43.6576535,-72.2840663,Light Rain Likely
Erik Walters,2/2/2024,Barboza,Music,Capitol Hill / Central District,47.6138274,-122.3196284,Mostly Cloudy
Memoir,2/2/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702705,Mostly Cloudy
Nora En Pure,2/2/2024,Showbox SoDo,Music,Pioneer Square,47.5880461,-122.333928,Mostly Cloudy
Poolside,2/2/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726,Mostly Cloudy
Tacoma Stars vs. Monterrey Flash,2/2/2024,accesso ShoWare Center,Sports,South,47.38765995,-122.24000381780328,Mostly Cloudy
Jaha Koo: The History of Korean Western Theatre,2/1/2024 through 2/3/2024,On The Boards,Theatre,Queen Anne / Seattle Center,50.2622955,-5.0548053,unknown
The Winds: Medley of Emotions,2/2/2024 through 2/3/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702705,Mostly Cloudy
All Will Suffer,2/3/2024,Funhouse,Music,Capitol Hill / Central District,43.6576535,-72.2840663,Light Rain Likely
Cold War Kids � 20 Years Tour,2/3/2024,The Moore Theatre,Music,Downtown,42.2896932,-83.7207314,Rain Showers
Mau P,2/3/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726,Mostly Cloudy
Randy Rainbow for President,2/3/2024,The Paramount Theatre,Theatre,Downtown,38.030837399999996,-78.47999700513506,Areas Of Fog
The Delta Bombers,2/3/2024,El Corazon,Music,Downtown,43.6529365,-70.2671548,Chance Light Rain
Seattle Chamber Music Winter Festival,1/26/2024 through 2/4/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702705,Rain
Beethoven Emperor Concerto,2/1/2024 through 2/4/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702705,Mostly Cloudy
Sergio Mendes,2/1/2024 through 2/4/2024,Dimitriou's Jazz Alley,Music,Downtown,47.6148163,-122.339691,Mostly Cloudy
Daniel Tiger�s Neighborhood,2/4/2024,The Paramount Theatre,Theatre,Downtown,38.030837399999996,-78.47999700513506,Areas Of Fog
Lil Skies,2/4/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726,Mostly Cloudy
Criminal,2/5/2024,The Moore Theatre,Theatre,Downtown,42.2896932,-83.7207314,Rain Showers
Neck Deep,2/5/2024,Showbox SoDo,Music,Pioneer Square,47.5880461,-122.333928,Mostly Cloudy
Kazu Kibuishi with Donna Barba Higuera,2/6/2024,Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,Mostly Cloudy
Night Lovell,2/6/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726,Mostly Cloudy
Soja,2/6/2024,The Neptune Theatre,Music,University District,47.6612984,-122.3131523,Mostly Cloudy
Kenny Barron Trio,2/6/2024 through 2/7/2024,Dimitriou's Jazz Alley,Music,Downtown,47.6148163,-122.339691,Mostly Cloudy
Tamara Payne: The Life and Legacy of Malcolm X,2/7/2024,Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,Mostly Cloudy
The Kills,2/7/2024,Showbox SoDo,Music,Pioneer Square,47.5880461,-122.333928,Mostly Cloudy
An Evening with Tina Campt: Black Feminist Visual Culture,2/8/2024,Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,Mostly Cloudy
Art and Transformation,2/8/2024,Bainbridge Island Museum of Art,Readings & Lectures,West,47.6251322,-122.51453295865404,Mostly Cloudy
Eric Bellinger,2/8/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726,Mostly Cloudy
Futurebirds and Nude Party,2/8/2024,The Neptune Theatre,Music,University District,47.6612984,-122.3131523,Mostly Cloudy
Ilana Glazer Live,2/8/2024,The Moore Theatre,Theatre,Downtown,42.2896932,-83.7207314,Rain Showers
Mister Blank,2/8/2024,Nectar Lounge,Music,Fremont / Ballard,47.6523876,-122.3538541520202,Mostly Cloudy
The Thorn,2/8/2024 through 2/9/2024,The Paramount Theatre,Theatre,Downtown,38.030837399999996,-78.47999700513506,Areas Of Fog
Barry Can�t Swim,2/9/2024,Neumos,Music,Capitol Hill / Central District,47.613954,-122.3196108,Mostly Cloudy
Dark Star Orchestra,2/9/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726,Mostly Cloudy
Gov�t Mule,2/9/2024,The Moore Theatre,Music,Downtown,42.2896932,-83.7207314,Rain Showers
Mayer Hawthorne,2/9/2024,The Neptune Theatre,Music,University District,47.6612984,-122.3131523,Mostly Cloudy
Moontricks,2/9/2024,The Crocodile,Music,Downtown,47.6146474,-122.3490734,Mostly Cloudy
OBOE / OBOE,2/9/2024,415 Westlake,Music,Queen Anne / Seattle Center,47.622554,-122.3386578,Mostly Cloudy
Seattle Boat Show,2/2/2024 through 2/10/2024,Lumen Field,Festivals & Special Events,Pioneer Square,47.5953459,-122.33164431196111,Mostly Cloudy
Randall Goosby Plays Mozart,2/8/2024 through 2/10/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702705,Mostly Cloudy
Art by Design,2/9/2024 through 2/10/2024,Seattle Design Center,Visual Arts & Galleries,Downtown,47.55148885,-122.32828666347223,Mostly Cloudy
Brazilian Carnaval 2024,2/10/2024,The Crocodile,Music,Downtown,47.6146474,-122.3490734,Mostly Cloudy
Chase Rice,2/10/2024,Showbox SoDo,Music,Pioneer Square,47.5880461,-122.333928,Mostly Cloudy
Joe �Mr. D�  Dombrowski,2/10/2024,The Moore Theatre,Theatre,Downtown,42.2896932,-83.7207314,Rain Showers
JVNA,2/10/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726,Mostly Cloudy
The Temptations &  The Four Tops,2/10/2024,The Paramount Theatre,Music,Downtown,38.030837399999996,-78.47999700513506,Areas Of Fog
Quixote Nuevo,Now through 2/11/2024,Seattle Rep,Theatre,Queen Anne / Seattle Center,47.6145597,-122.3285576,Mostly Cloudy
Kent Stowell�s Swan Lake,2/2/2024 through 2/11/2024,Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center,47.62397705,-122.35038850536958,Mostly Cloudy
Blood Sweat  and Tears,2/8/2024 through 2/11/2024,Dimitriou's Jazz Alley,Music,Downtown,47.6148163,-122.339691,Mostly Cloudy
Love at the Zoo,2/10/2024 through 2/11/2024,Point Defiance Zoo and Aquarium,Festivals & Special Events,South,47.3049439,-122.52137750626918,Mostly Cloudy
Scott Bradlee�s Postmodern Jukebox,2/11/2024,The Paramount Theatre,Music,Downtown,38.030837399999996,-78.47999700513506,unknown
Tourist and Amtrac,2/11/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726,unknown
Eliades Ochoa,2/13/2024,The Moore Theatre,Music,Downtown,42.2896932,-83.7207314,unknown
K. Wayne Yang,2/13/2024,Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,unknown
Maddie Zahm,2/15/2024,The Neptune Theatre,Music,University District,47.6612984,-122.3131523,unknown
Cory Wong Winter 2024 Tour,2/16/2024,The Paramount Theatre,Music,Downtown,38.030837399999996,-78.47999700513506,unknown
Circa:Humans 2.0,2/15/2024 through 2/17/2024,Meany Center for the Performing Arts,Theatre,University District,47.6612984,-122.3131523,unknown
Jon Batiste,2/17/2024,The Paramount Theatre,Music,Downtown,38.030837399999996,-78.47999700513506,unknown
TobyMac Hits Deep 2024,2/17/2024,accesso ShoWare Center,Music,South,47.38765995,-122.24000381780328,unknown
A Case for the Existence of God,2/2/2024 through 2/18/2024,ACT Theatre,Theatre,Downtown,47.6108495,-122.3323262,Mostly Cloudy
Northwest Flower & Garden Festival,2/14/2024 through 2/18/2024,Seattle Convention Center,Festivals & Special Events,Downtown,47.61175385,-122.33156275066185,unknown
The Princess Bride in Concert with the Seattle Symphony,2/14/2024 through 2/18/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702705,unknown
Mindi Abair Wine and Jazz Tour 2024,2/15/2024 through 2/18/2024,Dimitriou's Jazz Alley,Music,Downtown,47.6148163,-122.339691,unknown
Madonna,2/17/2024 through 2/18/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,47.6219014,-122.353990491486,unknown
"Meet the Author: Maggie Taft, The Chieftain and the Chair",2/18/2024,National Nordic Museum,Museums,Fremont / Ballard,47.6683615,-122.39177949359151,unknown
Seattle Kraken vs. Detroit Red Wings,2/19/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,unknown
From Mozart to Matthews,2/20/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702705,unknown
Lukas Nelson,2/20/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726,unknown
Mahogany � smARTfilms: Black Luxury,2/20/2024,Bainbridge Island Museum of Art,Film & Media Arts,West,47.6251322,-122.51453295865404,unknown
"Wu Han, Philip Setzer & David Finckel",2/20/2024,Meany Center for the Performing Arts,Music,University District,47.6612984,-122.3131523,unknown
The Cookers,2/20/2024 through 2/21/2024,Dimitriou's Jazz Alley,Music,Downtown,47.6148163,-122.339691,unknown
Side-by-Side with Seattle Youth Symphony Orchestra,2/21/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702705,unknown
Seattle Kraken vs. Vancouver Canucks,2/22/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,unknown
Funky Friday with F2D,Now through 2/23/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,47.6615049,-122.332319,Mostly Cloudy
BLACKSTAR SYMPHONY: The Music of David Bowie,2/23/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702705,unknown
Opera Talk: The Making of X,2/23/2024,Opera Center,Readings & Lectures,Queen Anne / Seattle Center,44.43358325,26.079138268508792,unknown
Wreckno,2/23/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726,unknown
Kelly Akashi,Now through 2/24/2024,Henry Art Gallery,Museums,University District,47.6565246,-122.31173279895636,Mostly Cloudy
The Lower Depths,2/6/2024 through 2/24/2024,Erickson Theatre,Theatre,Capitol Hill / Central District,47.61467195,-122.3217419,Mostly Cloudy
Dan Brown Wild Symphony,2/24/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702705,unknown
Pink Sweat$,2/24/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726,unknown
Seattle Kraken vs. Minnesota Wild,2/24/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,unknown
Small Island Big Song,2/24/2024,Meany Center for the Performing Arts,Music,University District,47.6612984,-122.3131523,unknown
Born With Teeth,2/1/2024 through 2/25/2024,ArtsWest Playhouse and Gallery,Theatre,West Seattle,47.5709315,-122.3865166,Mostly Cloudy
"Once More, Just For You",2/5/2024 through 2/25/2024,Seattle Public Theater,Theatre,Wallingford / Greenlake,47.6821341,-122.3398325,Mostly Cloudy
Wintergrass Music Festival,2/22/2024 through 2/25/2024,Hyatt Regency Bellevue,Festivals & Special Events,Bellevue / Eastside,47.618258,-122.20116,unknown
Seattle Kraken vs. Boston Bruins,2/26/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,unknown
Hunt for Sleeping Giants | National Geographic Live,2/25/2024 through 2/27/2024,Benaroya Hall,Readings & Lectures,Downtown,47.60811665,-122.33697040702705,unknown
Playboi Carti,2/28/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,47.6219014,-122.353990491486,unknown
Winter Brilliance,Now through 2/29/2024,Chihuly Garden and Glass,Museums,Queen Anne / Seattle Center,47.6205296,-122.35020712496446,Mostly Cloudy
Seattle Museum Month,2/1/2024 through 2/29/2024,Downtown Seattle,Museums,Downtown,47.5989361,-122.3279543,Mostly Cloudy
Seattle Kraken vs. Pittsburgh Penguins,2/29/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,unknown
